steps,grad_similarity
257,-0.286458969
258,0.435888797
259,0.264038026
260,-0.256295085
261,-0.38657409
262,-0.023468871
263,0.168022305
264,-0.034325652
265,-0.127140135
266,-0.486246169
267,-0.07153447
268,0.180193394
269,0.044619966
270,-0.1809237
271,-0.222170979
272,-0.217419028
273,-0.244639635
274,0.3967655
275,0.270996034
276,0.690994382
277,0.153768703
278,-0.020948894
279,0.16356121
280,0.509567499
281,-0.006843232
282,-0.077196017
283,0.09577772
284,-0.125878766
285,0.46150136
286,-0.113831453
287,0.056121677
288,0.401034236
289,-0.05490705
290,-0.205245435
291,0.016096383
292,-0.293328941
293,-0.012501836
294,-0.102312401
295,0.346023202
296,-0.132579401
297,0.230253816
298,0.172997773
299,0.320063829
300,0.226046324
301,-0.378413141
302,-0.433922887
303,-0.053275645
304,0.117772937
305,0.382825047
306,-0.112251863
307,-0.132937491
308,-0.018335652
309,0.075487584
310,-0.121318251
311,-0.159158289
312,-0.4529531
313,0.387199551
314,-0.2191879
315,-0.358517855
316,-0.465083718
317,-0.161796957
318,0.268476307
319,-0.22116673
320,-0.201881737
321,-0.024738666
322,0.318187833
323,0.550748467
324,0.319165349
325,-0.258666784
326,0.457089186
327,-0.600538731
328,-0.213670045
329,0.375527799
330,-0.079674274
331,-0.114158466
332,-0.214843899
333,0.148736566
334,0.666995645
335,0.433928311
336,-0.451239884
337,-0.393230617
338,0.176302254
339,0.113204852
340,-0.088983528
341,-0.184996828
342,0.000295449
343,-0.300362855
344,0.355546713
345,0.537251592
346,0.340459049
347,0.484678566
348,-0.040788226
349,-0.547856927
350,-0.294388831
351,0.059223391
352,-0.099304803
353,-0.28283152
354,0.011845861
355,0.239645362
356,0.54011941
357,0.334064424
358,0.030554939
359,0.021830346
360,-0.310323238
361,0.15020825
362,0.439621329
363,0.086748511
364,0.103709139
365,0.056496374
366,-0.299082279
367,0.23498109
368,-0.354286343
369,0.049827807
370,-0.033166952
371,0.374117017
372,0.566303134
373,0.18313016
374,-0.224354714
375,-0.149805009
376,-0.2220034
377,0.037923265
378,0.420271873
379,0.477409303
380,-0.049786471
381,-0.081308641
382,0.054162495
383,-0.009220216
384,-0.254933685
385,-0.356361091
386,0.138086036
387,-0.235259265
388,-0.103030473
389,-0.01044739
390,-0.217016131
391,-0.413326949
392,0.400453568
393,0.315875232
394,0.224754483
395,-0.262074947
396,0.211696267
397,0.006427161
398,0.039941777
399,0.159241676
400,0.394985497
401,-0.261205614
402,0.06444633
403,-0.15200296
404,-0.370042741
405,-0.389025867
406,-0.203195632
407,0.151117533
408,-0.249883294
409,-0.146950051
410,0.352184355
411,0.440141439
412,0.462843478
413,0.182037517
414,0.759619892
415,-0.025175855
416,-0.152886048
417,-0.424964547
418,0.089797802
419,0.326310039
420,0.42887941
421,0.202214479
422,0.259532928
423,-0.194451988
424,-0.049428821
425,-0.341700882
426,0.122077279
427,-0.173247263
428,0.07273674
429,-0.253390342
430,-0.174818799
431,0.450460672
432,0.007963583
433,0.373931587
434,0.361566782
435,0.502808571
436,0.350548804
437,0.355259776
438,0.498342454
439,0.179299623
440,0.117313102
441,0.250400156
442,0.098121271
443,0.013648361
444,0.44537878
445,0.293751955
446,0.622564077
447,-0.211709142
448,0.161529124
449,0.370068759
450,0.283043325
451,-0.456542701
452,0.208411813
453,-0.149546236
454,-0.161036119
455,-0.321667522
456,-0.304287672
457,-0.320302069
458,-0.233813167
459,-0.163379699
460,0.126647994
461,-0.345668316
462,0.137681723
463,-0.273932517
464,-0.361239612
465,0.43138966
466,0.388104588
467,-0.256216705
468,0.255248725
469,0.156929642
470,-0.251202554
471,-0.205857173
472,-0.304027259
473,0.550660014
474,0.275340438
475,-0.167577595
476,-0.282008469
477,-0.42990011
478,-0.11778897
479,-0.21686089
480,0.297245771
481,0.186973825
482,-0.269503713
483,0.288529277
484,-0.177323565
485,0.025539244
486,-0.518893361
487,0.602342129
488,0.307750493
489,0.110505
490,0.10964863
491,-0.470154524
492,-0.119727984
493,0.412122726
494,-0.19916752
495,0.43391946
496,-0.516956925
497,0.460588306
498,-0.245688379
499,0.507081866
500,0.356034279
501,0.038838845
502,0.276989937
503,0.395147264
504,-0.183923334
505,-0.400460631
506,-0.399412602
507,0.352622598
508,0.379668593
509,0.434881032
510,0.077772953
511,-0.289252698
512,-0.205891952
513,0.223252729
514,0.147748157
515,-0.121054329
516,-0.232629016
517,-0.334930331
518,0.087408014
519,-0.057409097
520,-0.150521725
521,0.218475908
522,0.586935997
523,-0.080572397
524,0.446763575
525,0.438761234
526,0.435167342
527,0.379068315
528,0.002109656
529,0.425881475
530,-0.00125532
531,-0.242739588
532,-0.555703461
533,-0.579451025
534,0.4047001
535,0.590327859
536,0.235655218
537,0.369122028
538,0.658007383
539,-0.408152878
540,0.062410906
541,-0.15733926
542,0.278601736
543,0.132685393
544,-0.321794212
545,-0.721143365
546,-0.542621553
547,-0.523568392
548,0.473571479
549,0.401281059
550,0.050477885
551,0.441166282
552,-0.046990413
553,0.209439307
554,0.114593066
555,0.250219554
556,0.492203146
557,0.311047077
558,0.393081605
559,0.288467616
560,0.488631487
561,0.2895706
562,-0.151878506
563,-0.006698566
564,0.098256268
565,0.523440003
566,0.221235156
567,0.466187954
568,0.190546602
569,-0.139064342
570,-0.633740902
571,0.034809895
572,-0.243624672
573,0.588231921
574,0.530280948
575,0.306219697
576,0.504947126
577,0.473322093
578,-0.35276109
579,0.357317805
580,0.307341248
581,0.182518408
582,0.298116833
583,-0.012678247
584,-0.383719742
585,0.071369067
586,-0.473067373
587,0.173484892
588,0.247178406
589,0.459038347
590,-0.172320053
591,-0.040066775
592,-0.262552738
593,0.055631895
594,0.333085954
595,0.061387707
596,0.18192257
597,0.003693745
598,0.056076296
599,0.342329353
600,0.364779532
601,0.37178725
602,-0.081304282
603,0.324715972
604,0.366873026
605,-0.085777149
606,-0.282258511
607,-0.244993538
608,0.421591938
609,0.450147659
610,-0.272896528
611,0.077910416
612,-0.186026454
613,-0.089874886
614,0.047394641
615,-0.486828566
616,0.749330997
617,0.236273259
618,0.230157897
619,0.192465693
620,-0.218486547
621,-0.534928739
622,-0.135080293
623,0.457916558
624,0.331534892
625,0.266129196
626,-0.199104548
627,0.309886217
628,0.541049302
629,0.647263527
630,0.547375083
631,0.297348797
632,0.299280256
633,-0.001480442
634,-0.522390425
635,-0.498778492
636,-0.256622106
637,-0.393335402
638,-0.469483137
639,0.559856772
640,-0.332629204
641,-0.071959823
642,0.106885187
643,-0.139987737
644,0.53961587
645,-0.010832312
646,0.275952339
647,0.324299574
648,0.219049901
649,0.505053759
650,0.023906566
651,0.128874689
652,0.126495123
653,0.007761573
654,-0.339140713
655,-0.039708033
656,0.501202106
657,0.285593033
658,0.446285844
659,0.599636436
660,-0.42422986
661,-0.656114697
662,-0.227271289
663,-0.393215775
664,-0.108209997
665,-0.040568829
666,-0.27990675
667,-0.389692128
668,-0.566375256
669,0.142232537
670,0.16355589
671,0.589047313
672,0.226186305
673,-0.679989278
674,0.314380705
675,0.499931097
676,0.526376009
677,-0.068672225
678,-0.383238524
679,-0.065392412
680,0.508547306
681,-0.242703632
682,-0.14655818
683,0.153051853
684,0.004109237
685,0.490848362
686,-0.002618309
687,0.033710551
688,0.628380179
689,-0.269251704
690,0.709330559
691,-0.35381642
692,-0.565234065
693,0.600046873
694,-0.62899065
695,-0.530126929
696,-0.164414942
697,0.057303485
698,0.028797425
699,-0.412487537
700,0.631883025
701,-0.023612045
702,-0.529606938
